name,id,desc,type,access,val
"AlSafe108_PWRP_1.Active",769,"Circ.1 - Inverter uSafe HW fault on heater circuitry (Err08) - Alarm status",BOOL,R,0
"AlSafe108_PWRP_1.Trigger",770,"Circ.1 - Inverter uSafe HW fault on heater circuitry (Err08) - Alarm status Trigger",BOOL,RW,0
"AlSafe108_PWRP_2.Active",771,"Circ.2 - Inverter uSafe HW fault on heater circuitry (Err08) - Alarm status",BOOL,R,0
"AlSafe108_PWRP_2.Trigger",772,"Circ.2 - Inverter uSafe HW fault on heater circuitry (Err08) - Alarm status Trigger",BOOL,RW,0
"AlSafe108_PWRP_3.Active",773,"Circ.3 - Inverter uSafe HW fault on heater circuitry (Err08) - Alarm status",BOOL,R,0
"AlSafe108_PWRP_3.Trigger",774,"Circ.3 - Inverter uSafe HW fault on heater circuitry (Err08) - Alarm status Trigger",BOOL,RW,0
"AlSafe109_PWRP_1.Active",775,"Circ.1 - Inverter uSafe data communication fault (Err09) - Alarm status",BOOL,R,0
"AlSafe109_PWRP_1.Trigger",776,"Circ.1 - Inverter uSafe data communication fault (Err09) - Alarm status Trigger",BOOL,RW,0
"AlSafe109_PWRP_2.Active",777,"Circ.2 - Inverter uSafe data communication fault (Err09) - Alarm status",BOOL,R,0
"AlSafe109_PWRP_2.Trigger",778,"Circ.2 - Inverter uSafe data communication fault (Err09) - Alarm status Trigger",BOOL,RW,0
"AlSafe109_PWRP_3.Active",779,"Circ.3 - Inverter uSafe data communication fault (Err09) - Alarm status",BOOL,R,0
"AlSafe109_PWRP_3.Trigger",780,"Circ.3 - Inverter uSafe data communication fault (Err09) - Alarm status Trigger",BOOL,RW,0
"AlSafe110_PWRP_1.Active",781,"Circ.1 - Inverter uSafe compressor stall detect (Err10) - Alarm status",BOOL,R,0
"AlSafe110_PWRP_1.Trigger",782,"Circ.1 - Inverter uSafe compressor stall detect (Err10) - Alarm status Trigger",BOOL,RW,0
"AlSafe110_PWRP_2.Active",783,"Circ.2 - Inverter uSafe compressor stall detect (Err10) - Alarm status",BOOL,R,0
"AlSafe110_PWRP_2.Trigger",784,"Circ.2 - Inverter uSafe compressor stall detect (Err10) - Alarm status Trigger",BOOL,RW,0
"AlSafe110_PWRP_3.Active",785,"Circ.3 - Inverter uSafe compressor stall detect (Err10) - Alarm status",BOOL,R,0
"AlSafe110_PWRP_3.Trigger",786,"Circ.3 - Inverter uSafe compressor stall detect (Err10) - Alarm status Trigger",BOOL,RW,0
"AlSafe111_PWRP_1.Active",787,"Circ.1 - Inverter uSafe DC bus over current (Err11) - Alarm status",BOOL,R,0
"AlSafe111_PWRP_1.Trigger",788,"Circ.1 - Inverter uSafe DC bus over current (Err11) - Alarm status Trigger",BOOL,RW,0
"AlSafe111_PWRP_2.Active",789,"Circ.2 - Inverter uSafe DC bus over current (Err11) - Alarm status",BOOL,R,0
"AlSafe111_PWRP_2.Trigger",790,"Circ.2 - Inverter uSafe DC bus over current (Err11) - Alarm status Trigger",BOOL,RW,0
"AlSafe111_PWRP_3.Active",791,"Circ.3 - Inverter uSafe DC bus over current (Err11) - Alarm status",BOOL,R,0
"AlSafe111_PWRP_3.Trigger",792,"Circ.3 - Inverter uSafe DC bus over current (Err11) - Alarm status Trigger",BOOL,RW,0
"AlSafe112_PWRP_1.Active",793,"Circ.1 - Inverter uSafe HWF DC bus current alarm (Err12) - Alarm status",BOOL,R,0
"AlSafe112_PWRP_1.Trigger",794,"Circ.1 - Inverter uSafe HWF DC bus current alarm (Err12) - Alarm status Trigger",BOOL,RW,0
"AlSafe112_PWRP_2.Active",795,"Circ.2 - Inverter uSafe HWF DC bus current alarm (Err12) - Alarm status",BOOL,R,0
"AlSafe112_PWRP_2.Trigger",796,"Circ.2 - Inverter uSafe HWF DC bus current alarm (Err12) - Alarm status Trigger",BOOL,RW,0
"AlSafe112_PWRP_3.Active",797,"Circ.3 - Inverter uSafe HWF DC bus current alarm (Err12) - Alarm status",BOOL,R,0
"AlSafe112_PWRP_3.Trigger",798,"Circ.3 - Inverter uSafe HWF DC bus current alarm (Err12) - Alarm status Trigger",BOOL,RW,0
"AlSafe113_PWRP_1.Active",799,"Circ.1 - Inverter uSafe DC bus voltage alarm (Err13) - Alarm status",BOOL,R,0
"AlSafe113_PWRP_1.Trigger",800,"Circ.1 - Inverter uSafe DC bus voltage alarm (Err13) - Alarm status Trigger",BOOL,RW,0
"AlSafe113_PWRP_2.Active",801,"Circ.2 - Inverter uSafe DC bus voltage alarm (Err13) - Alarm status",BOOL,R,0
"AlSafe113_PWRP_2.Trigger",802,"Circ.2 - Inverter uSafe DC bus voltage alarm (Err13) - Alarm status Trigger",BOOL,RW,0
"AlSafe113_PWRP_3.Active",803,"Circ.3 - Inverter uSafe DC bus voltage alarm (Err13) - Alarm status",BOOL,R,0
"AlSafe113_PWRP_3.Trigger",804,"Circ.3 - Inverter uSafe DC bus voltage alarm (Err13) - Alarm status Trigger",BOOL,RW,0
"AlSafe114_PWRP_1.Active",805,"Circ.1 - Inverter uSafe HWF DC bus voltage alarm (Err14) - Alarm status",BOOL,R,0
"AlSafe114_PWRP_1.Trigger",806,"Circ.1 - Inverter uSafe HWF DC bus voltage alarm (Err14) - Alarm status Trigger",BOOL,RW,0
"AlSafe114_PWRP_2.Active",807,"Circ.2 - Inverter uSafe HWF DC bus voltage alarm (Err14) - Alarm status",BOOL,R,0
"AlSafe114_PWRP_2.Trigger",808,"Circ.2 - Inverter uSafe HWF DC bus voltage alarm (Err14) - Alarm status Trigger",BOOL,RW,0
"AlSafe114_PWRP_3.Active",809,"Circ.3 - Inverter uSafe HWF DC bus voltage alarm (Err14) - Alarm status",BOOL,R,0
"AlSafe114_PWRP_3.Trigger",810,"Circ.3 - Inverter uSafe HWF DC bus voltage alarm (Err14) - Alarm status Trigger",BOOL,RW,0
"AlSafe115_PWRP_1.Active",811,"Circ.1 - Inverter uSafe input voltage alarm (Err15) - Alarm status",BOOL,R,0
"AlSafe115_PWRP_1.Trigger",812,"Circ.1 - Inverter uSafe input voltage alarm (Err15) - Alarm status Trigger",BOOL,RW,0
"AlSafe115_PWRP_2.Active",813,"Circ.2 - Inverter uSafe input voltage alarm (Err15) - Alarm status",BOOL,R,0
"AlSafe115_PWRP_2.Trigger",814,"Circ.2 - Inverter uSafe input voltage alarm (Err15) - Alarm status Trigger",BOOL,RW,0
"AlSafe115_PWRP_3.Active",815,"Circ.3 - Inverter uSafe input voltage alarm (Err15) - Alarm status",BOOL,R,0
"AlSafe115_PWRP_3.Trigger",816,"Circ.3 - Inverter uSafe input voltage alarm (Err15) - Alarm status Trigger",BOOL,RW,0
"AlSafe116_PWRP_1.Active",817,"Circ.1 - Inverter uSafe HWF input voltage alarm (Err16) - Alarm status",BOOL,R,0
"AlSafe116_PWRP_1.Trigger",818,"Circ.1 - Inverter uSafe HWF input voltage alarm (Err16) - Alarm status Trigger",BOOL,RW,0
"AlSafe116_PWRP_2.Active",819,"Circ.2 - Inverter uSafe HWF input voltage alarm (Err16) - Alarm status",BOOL,R,0
"AlSafe116_PWRP_2.Trigger",820,"Circ.2 - Inverter uSafe HWF input voltage alarm (Err16) - Alarm status Trigger",BOOL,RW,0
"AlSafe116_PWRP_3.Active",821,"Circ.3 - Inverter uSafe HWF input voltage alarm (Err16) - Alarm status",BOOL,R,0
"AlSafe116_PWRP_3.Trigger",822,"Circ.3 - Inverter uSafe HWF input voltage alarm (Err16) - Alarm status Trigger",BOOL,RW,0
"AlSafe201_PWRP_1.Active",823,"Circ.1 - Inverter uSafe DC bus power alarm (Err17) - Alarm status",BOOL,R,0
"AlSafe201_PWRP_1.Trigger",824,"Circ.1 - Inverter uSafe DC bus power alarm (Err17) - Alarm status Trigger",BOOL,RW,0
"AlSafe201_PWRP_2.Active",825,"Circ.2 - Inverter uSafe DC bus power alarm (Err17) - Alarm status",BOOL,R,0
"AlSafe201_PWRP_2.Trigger",826,"Circ.2 - Inverter uSafe DC bus power alarm (Err17) - Alarm status Trigger",BOOL,RW,0
"AlSafe201_PWRP_3.Active",827,"Circ.3 - Inverter uSafe DC bus power alarm (Err17) - Alarm status",BOOL,R,0
"AlSafe201_PWRP_3.Trigger",828,"Circ.3 - Inverter uSafe DC bus power alarm (Err17) - Alarm status Trigger",BOOL,RW,0
"AlSafe202_PWRP_1.Active",829,"Circ.1 - Inverter uSafe HWF power mismatch (Err18) - Alarm status",BOOL,R,0
"AlSafe202_PWRP_1.Trigger",830,"Circ.1 - Inverter uSafe HWF power mismatch (Err18) - Alarm status Trigger",BOOL,RW,0
"AlSafe202_PWRP_2.Active",831,"Circ.2 - Inverter uSafe HWF power mismatch (Err18) - Alarm status",BOOL,R,0
"AlSafe202_PWRP_2.Trigger",832,"Circ.2 - Inverter uSafe HWF power mismatch (Err18) - Alarm status Trigger",BOOL,RW,0
"AlSafe202_PWRP_3.Active",833,"Circ.3 - Inverter uSafe HWF power mismatch (Err18) - Alarm status",BOOL,R,0
"AlSafe202_PWRP_3.Trigger",834,"Circ.3 - Inverter uSafe HWF power mismatch (Err18) - Alarm status Trigger",BOOL,RW,0
"AlSafe203_PWRP_1.Active",835,"Circ.1 - Inverter uSafe NTC over temperature (Err19) - Alarm status",BOOL,R,0
"AlSafe203_PWRP_1.Trigger",836,"Circ.1 - Inverter uSafe NTC over temperature (Err19) - Alarm status Trigger",BOOL,RW,0
"AlSafe203_PWRP_2.Active",837,"Circ.2 - Inverter uSafe NTC over temperature (Err19) - Alarm status",BOOL,R,0
"AlSafe203_PWRP_2.Trigger",838,"Circ.2 - Inverter uSafe NTC over temperature (Err19) - Alarm status Trigger",BOOL,RW,0
"AlSafe203_PWRP_3.Active",839,"Circ.3 - Inverter uSafe NTC over temperature (Err19) - Alarm status",BOOL,R,0
"AlSafe203_PWRP_3.Trigger",840,"Circ.3 - Inverter uSafe NTC over temperature (Err19) - Alarm status Trigger",BOOL,RW,0
"AlSafe204_PWRP_1.Active",841,"Circ.1 - Inverter uSafe NTC under temperature (Err20) - Alarm status",BOOL,R,0
"AlSafe204_PWRP_1.Trigger",842,"Circ.1 - Inverter uSafe NTC under temperature (Err20) - Alarm status Trigger",BOOL,RW,0
"AlSafe204_PWRP_2.Active",843,"Circ.2 - Inverter uSafe NTC under temperature (Err20) - Alarm status",BOOL,R,0
"AlSafe204_PWRP_2.Trigger",844,"Circ.2 - Inverter uSafe NTC under temperature (Err20) - Alarm status Trigger",BOOL,RW,0
"AlSafe204_PWRP_3.Active",845,"Circ.3 - Inverter uSafe NTC under temperature (Err20) - Alarm status",BOOL,R,0
"AlSafe204_PWRP_3.Trigger",846,"Circ.3 - Inverter uSafe NTC under temperature (Err20) - Alarm status Trigger",BOOL,RW,0
"AlSafe205_PWRP_1.Active",847,"Circ.1 - Inverter uSafe NTC fault (Err21) - Alarm status",BOOL,R,0
"AlSafe205_PWRP_1.Trigger",848,"Circ.1 - Inverter uSafe NTC fault (Err21) - Alarm status Trigger",BOOL,RW,0
"AlSafe205_PWRP_2.Active",849,"Circ.2 - Inverter uSafe NTC fault (Err21) - Alarm status",BOOL,R,0
"AlSafe205_PWRP_2.Trigger",850,"Circ.2 - Inverter uSafe NTC fault (Err21) - Alarm status Trigger",BOOL,RW,0
"AlSafe205_PWRP_3.Active",851,"Circ.3 - Inverter uSafe NTC fault (Err21) - Alarm status",BOOL,R,0
"AlSafe205_PWRP_3.Trigger",852,"Circ.3 - Inverter uSafe NTC fault (Err21) - Alarm status Trigger",BOOL,RW,0
"AlSafe206_PWRP_1.Active",853,"Circ.1 - Inverter uSafe HWF sync fault (Err22) - Alarm status",BOOL,R,0
"AlSafe206_PWRP_1.Trigger",854,"Circ.1 - Inverter uSafe HWF sync fault (Err22) - Alarm status Trigger",BOOL,RW,0
"AlSafe206_PWRP_2.Active",855,"Circ.2 - Inverter uSafe HWF sync fault (Err22) - Alarm status",BOOL,R,0
"AlSafe206_PWRP_2.Trigger",856,"Circ.2 - Inverter uSafe HWF sync fault (Err22) - Alarm status Trigger",BOOL,RW,0
"AlSafe206_PWRP_3.Active",857,"Circ.3 - Inverter uSafe HWF sync fault (Err22) - Alarm status",BOOL,R,0
"AlSafe206_PWRP_3.Trigger",858,"Circ.3 - Inverter uSafe HWF sync fault (Err22) - Alarm status Trigger",BOOL,RW,0
"AlSafe207_PWRP_1.Active",859,"Circ.1 - Inverter uSafe invalid parameter (Err23) - Alarm status",BOOL,R,0
"AlSafe207_PWRP_1.Trigger",860,"Circ.1 - Inverter uSafe invalid parameter (Err23) - Alarm status Trigger",BOOL,RW,0
"AlSafe207_PWRP_2.Active",861,"Circ.2 - Inverter uSafe invalid parameter (Err23) - Alarm status",BOOL,R,0
"AlSafe207_PWRP_2.Trigger",862,"Circ.2 - Inverter uSafe invalid parameter (Err23) - Alarm status Trigger",BOOL,RW,0
"AlSafe207_PWRP_3.Active",863,"Circ.3 - Inverter uSafe invalid parameter (Err23) - Alarm status",BOOL,R,0
"AlSafe207_PWRP_3.Trigger",864,"Circ.3 - Inverter uSafe invalid parameter (Err23) - Alarm status Trigger",BOOL,RW,0
"AlSafe208_PWRP_1.Active",865,"Circ.1 - Inverter uSafe FW fault (Err24) - Alarm status",BOOL,R,0
"AlSafe208_PWRP_1.Trigger",866,"Circ.1 - Inverter uSafe FW fault (Err24) - Alarm status Trigger",BOOL,RW,0
"AlSafe208_PWRP_2.Active",867,"Circ.2 - Inverter uSafe FW fault (Err24) - Alarm status",BOOL,R,0
"AlSafe208_PWRP_2.Trigger",868,"Circ.2 - Inverter uSafe FW fault (Err24) - Alarm status Trigger",BOOL,RW,0
"AlSafe208_PWRP_3.Active",869,"Circ.3 - Inverter uSafe FW fault (Err24) - Alarm status",BOOL,R,0
"AlSafe208_PWRP_3.Trigger",870,"Circ.3 - Inverter uSafe FW fault (Err24) - Alarm status Trigger",BOOL,RW,0
"AlSafe209_PWRP_1.Active",871,"Circ.1 - Inverter uSafe HW fault (Err25) - Alarm status",BOOL,R,0
"AlSafe209_PWRP_1.Trigger",872,"Circ.1 - Inverter uSafe HW fault (Err25) - Alarm status Trigger",BOOL,RW,0
"AlSafe209_PWRP_2.Active",873,"Circ.2 - Inverter uSafe HW fault (Err25) - Alarm status",BOOL,R,0
"AlSafe209_PWRP_2.Trigger",874,"Circ.2 - Inverter uSafe HW fault (Err25) - Alarm status Trigger",BOOL,RW,0
"AlSafe209_PWRP_3.Active",875,"Circ.3 - Inverter uSafe HW fault (Err25) - Alarm status",BOOL,R,0
"AlSafe209_PWRP_3.Trigger",876,"Circ.3 - Inverter uSafe HW fault (Err25) - Alarm status Trigger",BOOL,RW,0
"AlSafe210_PWRP_1.Active",877,"Circ.1 - Inverter uSafe - reseved (Err26) - Alarm status",BOOL,R,0
"AlSafe210_PWRP_1.Trigger",878,"Circ.1 - Inverter uSafe - reseved (Err26) - Alarm status Trigger",BOOL,RW,0
"AlSafe210_PWRP_2.Active",879,"Circ.2 - Inverter uSafe - reseved (Err26) - Alarm status",BOOL,R,0
"AlSafe210_PWRP_2.Trigger",880,"Circ.2 - Inverter uSafe - reseved (Err26) - Alarm status Trigger",BOOL,RW,0
"AlSafe210_PWRP_3.Active",881,"Circ.3 - Inverter uSafe - reseved (Err26) - Alarm status",BOOL,R,0
"AlSafe210_PWRP_3.Trigger",882,"Circ.3 - Inverter uSafe - reseved (Err26) - Alarm status Trigger",BOOL,RW,0
"AlSafe211_PWRP_1.Active",883,"Circ.1 - Inverter uSafe - reseved (Err27) - Alarm status",BOOL,R,0
"AlSafe211_PWRP_1.Trigger",884,"Circ.1 - Inverter uSafe - reseved (Err27) - Alarm status Trigger",BOOL,RW,0
"AlSafe211_PWRP_2.Active",885,"Circ.2 - Inverter uSafe - reseved (Err27) - Alarm status",BOOL,R,0
"AlSafe211_PWRP_2.Trigger",886,"Circ.2 - Inverter uSafe - reseved (Err27) - Alarm status Trigger",BOOL,RW,0
"AlSafe211_PWRP_3.Active",887,"Circ.3 - Inverter uSafe - reseved (Err27) - Alarm status",BOOL,R,0
"AlSafe211_PWRP_3.Trigger",888,"Circ.3 - Inverter uSafe - reseved (Err27) - Alarm status Trigger",BOOL,RW,0
"AlSafe212_PWRP_1.Active",889,"Circ.1 - Inverter uSafe - reseved (Err28) - Alarm status",BOOL,R,0
"AlSafe212_PWRP_1.Trigger",890,"Circ.1 - Inverter uSafe - reseved (Err28) - Alarm status Trigger",BOOL,RW,0
"AlSafe212_PWRP_2.Active",891,"Circ.2 - Inverter uSafe - reseved (Err28) - Alarm status",BOOL,R,0
"AlSafe212_PWRP_2.Trigger",892,"Circ.2 - Inverter uSafe - reseved (Err28) - Alarm status Trigger",BOOL,RW,0
"AlSafe212_PWRP_3.Active",893,"Circ.3 - Inverter uSafe - reseved (Err28) - Alarm status",BOOL,R,0
"AlSafe212_PWRP_3.Trigger",894,"Circ.3 - Inverter uSafe - reseved (Err28) - Alarm status Trigger",BOOL,RW,0
"AlSafe213_PWRP_1.Active",895,"Circ.1 - Inverter uSafe - reseved (Err29) - Alarm status",BOOL,R,0
"AlSafe213_PWRP_1.Trigger",896,"Circ.1 - Inverter uSafe - reseved (Err29) - Alarm status Trigger",BOOL,RW,0
"AlSafe213_PWRP_2.Active",897,"Circ.2 - Inverter uSafe - reseved (Err29) - Alarm status",BOOL,R,0
"AlSafe213_PWRP_2.Trigger",898,"Circ.2 - Inverter uSafe - reseved (Err29) - Alarm status Trigger",BOOL,RW,0
"AlSafe213_PWRP_3.Active",899,"Circ.3 - Inverter uSafe - reseved (Err29) - Alarm status",BOOL,R,0
"AlSafe213_PWRP_3.Trigger",900,"Circ.3 - Inverter uSafe - reseved (Err29) - Alarm status Trigger",BOOL,RW,0
"AlSafe214_PWRP_1.Active",901,"Circ.1 - Inverter uSafe - reseved (Err30) - Alarm status",BOOL,R,0
"AlSafe214_PWRP_1.Trigger",902,"Circ.1 - Inverter uSafe - reseved (Err30) - Alarm status Trigger",BOOL,RW,0
"AlSafe214_PWRP_2.Active",903,"Circ.2 - Inverter uSafe - reseved (Err30) - Alarm status",BOOL,R,0
"AlSafe214_PWRP_2.Trigger",904,"Circ.2 - Inverter uSafe - reseved (Err30) - Alarm status Trigger",BOOL,RW,0
"AlSafe214_PWRP_3.Active",905,"Circ.3 - Inverter uSafe - reseved (Err30) - Alarm status",BOOL,R,0
"AlSafe214_PWRP_3.Trigger",906,"Circ.3 - Inverter uSafe - reseved (Err30) - Alarm status Trigger",BOOL,RW,0
"AlSafe215_PWRP_1.Active",907,"Circ.1 - Inverter uSafe - reseved (Err31) - Alarm status",BOOL,R,0
"AlSafe215_PWRP_1.Trigger",908,"Circ.1 - Inverter uSafe - reseved (Err31) - Alarm status Trigger",BOOL,RW,0
"AlSafe215_PWRP_2.Active",909,"Circ.2 - Inverter uSafe - reseved (Err31) - Alarm status",BOOL,R,0
"AlSafe215_PWRP_2.Trigger",910,"Circ.2 - Inverter uSafe - reseved (Err31) - Alarm status Trigger",BOOL,RW,0
"AlSafe215_PWRP_3.Active",911,"Circ.3 - Inverter uSafe - reseved (Err31) - Alarm status",BOOL,R,0
"AlSafe215_PWRP_3.Trigger",912,"Circ.3 - Inverter uSafe - reseved (Err31) - Alarm status Trigger",BOOL,RW,0
"AlSafe216_PWRP_1.Active",913,"Circ.1 - Inverter uSafe - reseved (Err32) - Alarm status",BOOL,R,0
"AlSafe216_PWRP_1.Trigger",914,"Circ.1 - Inverter uSafe - reseved (Err32) - Alarm status Trigger",BOOL,RW,0
"AlSafe216_PWRP_2.Active",915,"Circ.2 - Inverter uSafe - reseved (Err32) - Alarm status",BOOL,R,0
"AlSafe216_PWRP_2.Trigger",916,"Circ.2 - Inverter uSafe - reseved (Err32) - Alarm status Trigger",BOOL,RW,0
"AlSafe216_PWRP_3.Active",917,"Circ.3 - Inverter uSafe - reseved (Err32) - Alarm status",BOOL,R,0
"AlSafe216_PWRP_3.Trigger",918,"Circ.3 - Inverter uSafe - reseved (Err32) - Alarm status Trigger",BOOL,RW,0
"Al_AFreezeDIN.Active",919,"Antifreeze alarm by DIN - Alarm status",BOOL,R,0
"Al_AFreezeDIN.Trigger",920,"Antifreeze alarm by DIN - Alarm status Trigger",BOOL,RW,0
"Al_AFreezePRB.Active",921,"Antifreeze alarm by heat back water temp. - Alarm status",BOOL,R,0
"Al_AFreezePRB.Trigger",922,"Antifreeze alarm by heat back water temp. - Alarm status Trigger",BOOL,RW,0
"Al_AFreezePreHeatPRB.Active",923,"Antifreeze alarm by preheat back water temp. - Alarm status",BOOL,R,0
"Al_AFreezePreHeatPRB.Trigger",924,"Antifreeze alarm by preheat back water temp. - Alarm status Trigger",BOOL,RW,0
"Al_AfterPreHeatCoilTempPrb.Active",925,"After preheating coil temp.probe not working - Alarm status",BOOL,R,0
"Al_AfterPreHeatCoilTempPrb.Trigger",926,"After preheating coil temp.probe not working - Alarm status Trigger",BOOL,RW,0
"Al_Air_Damper_Close.Active",927,"Automatic generated by Alarm editor - Automatic generated by Alarm editor",BOOL,RW,0
"Al_Air_Damper_Close.Trigger",928,"Automatic generated by Alarm editor - Automatic generated by Alarm editor",BOOL,RW,0
"Al_Air_Damper_Open.Active",929,"Air Damper - Alarm status",BOOL,RW,0
"Al_Air_Damper_Open.Trigger",930,"Air Damper - Alarm status Trigger",BOOL,RW,0
"Al_BMS_Offline.Active",931,"BMS offline - Alarm status",BOOL,R,0
"Al_BMS_Offline.Trigger",932,"BMS offline - Alarm status Trigger",BOOL,RW,0
"Al_BrakeMode_EBM_1.Active",933,"Supply fan - Brake mode - Alarm status",BOOL,R,0
"Al_BrakeMode_EBM_1.Trigger",934,"Supply fan - Brake mode - Alarm status Trigger",BOOL,RW,0
"Al_BrakeMode_EBM_2.Active",935,"Return fan - Brake mode - Alarm status",BOOL,R,0
"Al_BrakeMode_EBM_2.Trigger",936,"Return fan - Brake mode - Alarm status Trigger",BOOL,RW,0
"Al_CableBreak_EBM_1.Active",937,"Supply fan - Cable break - Alarm status",BOOL,R,0
"Al_CableBreak_EBM_1.Trigger",938,"Supply fan - Cable break - Alarm status Trigger",BOOL,RW,0
"Al_CableBreak_EBM_2.Active",939,"Return fan - Cable break - Alarm status",BOOL,R,0
"Al_CableBreak_EBM_2.Trigger",940,"Return fan - Cable break - Alarm status Trigger",BOOL,RW,0
"Al_CfgError_cpCOe.Active",941,"c.pCOe 1 - Configuration error - Alarm status",BOOL,R,0
"Al_CfgError_cpCOe.Trigger",942,"c.pCOe 1 - Configuration error - Alarm status Trigger",BOOL,RW,0
"Al_CfgError_cpCOe_2.Active",943,"c.pCOe 2 - Configuration error - Alarm status",BOOL,R,0
"Al_CfgError_cpCOe_2.Trigger",944,"c.pCOe 2 - Configuration error - Alarm status Trigger",BOOL,RW,0
"Al_CfgError_cpCOe_3.Active",945,"c.pCOe 3 - Configuration error - Alarm status",BOOL,R,0
"Al_CfgError_cpCOe_3.Trigger",946,"c.pCOe 3 - Configuration error - Alarm status Trigger",BOOL,RW,0
"Al_Circ1Comp1.Active",947,"Al circ1 comp1 - Alarm status",BOOL,RW,0
"Al_Circ1Comp1.Trigger",948,"Al circ1 comp1 - Alarm status Trigger",BOOL,RW,0
"Al_Circ1Comp2.Active",949,"Al circ1 comp2 - Alarm status",BOOL,RW,0
"Al_Circ1Comp2.Trigger",950,"Al circ1 comp2 - Alarm status Trigger",BOOL,RW,0
"Al_Circ1Comp3.Active",951,"Al circ1 comp3 - Alarm status",BOOL,RW,0
"Al_Circ1Comp3.Trigger",952,"Al circ1 comp3 - Alarm status Trigger",BOOL,RW,0
"Al_Circ2Comp1.Active",953,"Al circ2 comp1 - Alarm status",BOOL,RW,0
"Al_Circ2Comp1.Trigger",954,"Al circ2 comp1 - Alarm status Trigger",BOOL,RW,0
"Al_Circ2Comp2.Active",955,"Al circ2 comp2 - Alarm status",BOOL,RW,0
"Al_Circ2Comp2.Trigger",956,"Al circ2 comp2 - Alarm status Trigger",BOOL,RW,0
"Al_Circ2Comp3.Active",957,"Al circ2 comp3 - Alarm status",BOOL,RW,0
"Al_Circ2Comp3.Trigger",958,"Al circ2 comp3 - Alarm status Trigger",BOOL,RW,0
"Al_CommunicationErr_EBM_1.Active",959,"Supply fan - Communic. Error - Alarm status",BOOL,R,0
"Al_CommunicationErr_EBM_1.Trigger",960,"Supply fan - Communic. Error - Alarm status Trigger",BOOL,RW,0
"Al_CommunicationErr_EBM_2.Active",961,"Return fan - Communic. Error - Alarm status",BOOL,R,0
"Al_CommunicationErr_EBM_2.Trigger",962,"Return fan - Communic. Error - Alarm status Trigger",BOOL,RW,0
"Al_Comp1Circ1_WorkHrsWarn.Active",963,"Compressor 1 circuit 1 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp1Circ1_WorkHrsWarn.Trigger",964,"Compressor 1 circuit 1 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_Comp1Circ2_WorkHrsWarn.Active",965,"Compressor 1 circuit 2 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp1Circ2_WorkHrsWarn.Trigger",966,"Compressor 1 circuit 2 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_Comp1Circ3_WorkHrsWarn.Active",967,"Compressor 1 circuit 3 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp1Circ3_WorkHrsWarn.Trigger",968,"Compressor 1 circuit 3 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_Comp2Circ1_WorkHrsWarn.Active",969,"Compressor 2 circuit 1 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp2Circ1_WorkHrsWarn.Trigger",970,"Compressor 2 circuit 1 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_Comp2Circ2_WorkHrsWarn.Active",971,"Compressor 2 circuit 2 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp2Circ2_WorkHrsWarn.Trigger",972,"Compressor 2 circuit 2 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_Comp2Circ3_WorkHrsWarn.Active",973,"Compressor 2 circuit 3 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp2Circ3_WorkHrsWarn.Trigger",974,"Compressor 2 circuit 3 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_Comp3Circ1_WorkHrsWarn.Active",975,"Compressor 3 circuit 1 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp3Circ1_WorkHrsWarn.Trigger",976,"Compressor 3 circuit 1 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_Comp3Circ2_WorkHrsWarn.Active",977,"Compressor 3 circuit 2 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp3Circ2_WorkHrsWarn.Trigger",978,"Compressor 3 circuit 2 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_Comp3Circ3_WorkHrsWarn.Active",979,"Compressor 3 circuit 3 maintenance required - Alarm status",BOOL,RW,0
"Al_Comp3Circ3_WorkHrsWarn.Trigger",980,"Compressor 3 circuit 3 maintenance required - Alarm status Trigger",BOOL,RW,0
"Al_ComprOff_BLDC_1.Active",981,"Circ.1 - Compressor shut off - Alarm status",BOOL,R,0
"Al_ComprOff_BLDC_1.Trigger",982,"Circ.1 - Compressor shut off - Alarm status Trigger",BOOL,RW,0
"Al_ComprOff_BLDC_2.Active",983,"Circ.2 - Compressor shut off - Alarm status",BOOL,R,0
"Al_ComprOff_BLDC_2.Trigger",984,"Circ.2 - Compressor shut off - Alarm status Trigger",BOOL,RW,0
"Al_ComprOff_BLDC_3.Active",985,"Circ.3 - Compressor shut off - Alarm status",BOOL,R,0
"Al_ComprOff_BLDC_3.Trigger",986,"Circ.3 - Compressor shut off - Alarm status Trigger",BOOL,RW,0
"Al_Cool.Active",987,"Cooling device alarm - Alarm status",BOOL,R,0
